,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
62,landgoed,lˈɑndɣˌut,lɑnd - ɣut,35.0,1031.0,533.0,"['la', 'an', 'nd', 'dg', 'go', 'oe', 'ed']","[2444604.0, 4143386.0, 2576478.0, 70106.0, 147343.0, 837795.0, 636500.0]",3.893321421940029,344.0,2.53655844257153,2.0,5.661803550131882,5.661803550131882
63,honderden,hˈɔndɛrdən,hɔn - dɛr - dən,7143.0,22235.0,14776.666666666666,"['ho', 'on', 'nd', 'de', 'er', 'rd', 'de', 'en']","[1237078.0, 2451854.0, 2576478.0, 2559661.0, 6799370.0, 823655.0, 2559661.0, 8542439.0]",4.353761665290453,995.0,2.9978230807457256,3.0,5.376643034222873,5.376643034222873
64,bezoekers,bəzˈukərs,bə - zu - kərs,7544.0,22499.0,17022.0,"['be', 'ez', 'zo', 'oe', 'ek', 'ke', 'er', 'rs']","[2443609.0, 100963.0, 40239.0, 837795.0, 762098.0, 3143026.0, 6799370.0, 834594.0]",3.995983763837177,436.0,2.639486489268586,3.0,5.105050869232109,6.969028573317883
65,rondleiden,rˈɔndlɛɪdən,rɔnd - lɛɪ - dən,4177.0,69175.0,26831.666666666668,"['ro', 'on', 'nd', 'dl', 'le', 'ei', 'id', 'de', 'en']","[1417238.0, 2451854.0, 2576478.0, 30978.0, 4397946.0, 2483878.0, 469631.0, 2559661.0, 8542439.0]",3.466092037166004,128.0,2.1072099696478683,3.0,5.359959057434819,5.359959057434819
66,trots,trˈɔts,trɔts,2.0,2.0,2.0,"['tr', 'ro', 'ot', 'ts']","[1199332.0, 1417238.0, 1595020.0, 235160.0]",5.04347694690131,4874.0,3.6878855248487055,1.0,4.920482470130855,4.920482470130855
67,gisteren,ɣˈɪstərən,ɣɪ - stə - rən,6659.0,247036.0,93480.66666666669,"['gi', 'is', 'st', 'te', 'er', 're', 'en']","[669114.0, 3439538.0, 2307098.0, 3522714.0, 6799370.0, 1607974.0, 8542439.0]",5.116226299008707,5763.0,3.760648619581356,3.0,5.395487791398666,5.395487791398666
68,had,hˈɑt,hɑt,92535.0,92535.0,92535.0,"['ha', 'ad']","[1299761.0, 474501.0]",6.319780818520769,92103.0,4.964273776366518,1.0,6.319399377368915,6.319399377368915
69,brede,brˈeːdə,breː - də,5528.0,208410.0,106969.0,"['br', 're', 'ed', 'de']","[191839.0, 1607974.0, 636500.0, 2559661.0]",3.495381413267991,137.0,2.1367205671564067,2.0,4.967925316119827,4.967925316119827
70,bodyguard,bˈoːdiɣˌyɑrt,boː - di - ɣy - ɑrt,4291.0,441857.0,122951.0,"['bo', 'od', 'dy', 'yg', 'gu', 'ua', 'ar', 'rd']","[1606593.0, 193327.0, 29948.0, 317.0, 24620.0, 213527.0, 1754491.0, 823655.0]",3.376691625936693,104.0,2.0170333392987803,3.0,3.503393188708185,5.82222915237838
71,filmster,fˈɪlmstər,fɪlm - stər,3556.0,12170.0,7863.0,"['fi', 'il', 'lm', 'ms', 'st', 'te', 'er']","[301366.0, 2591190.0, 28212.0, 35219.0, 2307098.0, 3522714.0, 6799370.0]",3.7852546068691626,268.0,2.428134794028789,2.0,5.221072495661064,5.221072495661064
72,beschermde,bəsxˈɛrmdə,bə - sxɛrm - də,412.0,208410.0,76615.0,"['be', 'es', 'sc', 'ch', 'he', 'er', 'rm', 'md', 'de']","[2443609.0, 1784615.0, 1079447.0, 1999086.0, 822995.0, 6799370.0, 1049306.0, 10432.0, 2559661.0]",3.802660358208974,279.0,2.4456042032735974,3.0,4.532497698050245,6.969028573317883
